"","airport","max_T","min_T","diff_max_T","diff_min_T","Quality"
"1","AYPY",82,75,3.358674183,-0.77745974,0.585714286
"2","BIKF",56,45,0.754084021,2.130476008,0.95
"4","CYEG",84,61,-10.833998,-12.37966596,0.95
"5","CYHZ",78,55,-3.710682306,2.905098774,0.9
"6","CYOW",87,59,-6.160403804,3.037749725,0.85
"7","CYQB",80,51,-0.17740571,6.735347848,0.9
"8","CYUL",83,64,-2.523224152,0.786918175,0.9
"9","CYVR",65,60,7.909421302,-2.440916224,0.95
"10","CYWG",82,68,-5.181277919,-13.36788803,0.9
"11","CYXU",80,53,0.897496033,7.02028893,0.85
"12","CYYC",84,59,-10.59448807,-5.136656324,0.85
"14","CYYT",51,44,21.8948238,10.55977903,0.95
"15","CYYZ",84,59,-2.590271888,5.754463867,0.95
"16","DAAG",90,63,-1.071647594,3.495894964,0.75
"17","DGAA",85,72,-0.294004457,2.45423894,0.842857143
"19","DNMM",87,72,-3.677100734,1.031927762,0.692857143
"21","EBBR",84,55,-12.99462141,0.54159473,0.95
"22","EBCI",82,59,-11.08629011,-2.933224972,0.85
"23","EBLG",86,60,-14.12493696,-3.286226722,0.95
"24","EDDB",72,47,3.920238723,11.2727426,0.75
"25","EDDC",75,47,-1.730734654,9.481780394,0.75
"26","EDDF",89,57,-11.1974697,2.105887714,0.9
"27","EDDG",83,54,-8.176415258,2.444700238,0.9
"28","EDDH",75,46,1.131358722,11.69776974,0.85
"29","EDDK",86,50,-10.83674466,6.914959142,0.95
"30","EDDL",84,52,-8.580808041,6.865653815,0.9
"31","EDDM",84,46,-10.54157131,9.454666188,0.9
"33","EDDP",76,50,0.396022217,7.909706105,0.8
"34","EDDS",87,51,-11.09083987,6.813143283,0.85
"37","EDDW",79,50,-4.612037194,6.413044691,0.95
"38","EDLW",80,51,-6.425605314,5.579122313,0.8
"40","EETN",66,54,9.23389531354125,3.36713684260073,0.85
"41","EFHK",70,55,6.230763117,2.262363137,0.9
"43","EGAC",64,53,1.034806024,1.106152682,0.8
"47","EGFF",66,59,-0.011575448,-5.191765551,0.85
"48","EGGD",66,55,2.82701181937973,-1.73443804068216,0.9
"49","EGGP",66,59,1.932598188,-3.908325771,0.95
"50","EGGW",75,57,-5.074802445,-4.214979472,0.85
"51","EGHH",73,50,-1.487172082,2.568272673,0.85
"52","EGHI",71,50,-3.35905043,3.053283522,0.9
"53","EGKK",75,51,-6.078417576,4.050557466,0.85
"54","EGLC",78,62,-6.756721522,-4.403756868,0.95
"55","EGLL",78,57,-5.137083722,-1.300379139,0.95
"57","EGNT",68,57,-2.04745275,-6.542722605,0.9
"60","EGPF",64,57,3.166414968,-6.998018294,0.95
"61","EGPH",66,57,-0.106574754,-8.260256236,0.85
"62","EGSH",77,57,-7.69617770383685,-0.973804614621912,0.9
"63","EGSS",75,53,-5.249844945,-0.473408295,0.95
"64","EGTE",71,50,-0.242568312,1.083626943,0.9
"65","EGUL",77,54,-4.948770024,-0.837585237,0.592857143
"66","EGUN",77,54,-3.77840646712161,-0.35187723590775,0.657142857142857
"67","EGVA",72,51,-1.298667411,0.244862142,0.421428571
"68","EGVN",73,55,-1.724808322,-1.746009491,0.85
"69","EHAM",81,57,-9.821200898,-0.271789889,0.75
"70","EHBK",86,56,-13.41907762,1.230391628,0.75
"71","EHEH",87,59,-13.45663918,-3.148611647,0.9
"72","EICK",59,49,5.596303345,3.7510721,0.9
"73","EIDW",64,52,3.115165768,-1.496304952,0.85
"74","EINN",62,54,4.988842105,-0.649211528,0.95
"75","EKBI",63,39,7.689277389,15.14512809,0.9
"76","EKCH",69,44,4.039408692,15.48389894,0.9
"77","EKYT",66,49,5.677802167,8.603511964,0.9
"78","ELLX",84,56,-10.70260209,0.788066399,0.9
"79","ENBO",55,49,6.851072677,2.54839769,0.85
"80","ENBR",59,48,6.320757789,5.387597656,0.95
"81","ENGM",71,44,-1.845728238,10.39486169,0.95
"83","ENVA",66,48,1.956826076,6.128651649,0.85
"84","ENZV",62,46,3.778670422,9.015208491,0.85
"85","EPGD",64,53,10.57741526,4.376509063,0.9
"86","EPKK",73,42,6.351071273,14.61596366,0.95
"87","EPKT",72,46,6.343492734,9.136426555,0.8
"88","EPMO",66,53,13.58180348,11.2826066,0.107142857
"89","EPPO",72,46,7.248589854,13.62614013,0.9
"90","EPWA",65,53,13.73647356,6.482707168,0.85
"91","EPWR",74,47,5.867395299,11.23315967,0.721428571
"92","ESGG",69,48,-0.24000283,6.614396013,0.8
"93","ESMS",68,45,4.195007014,10.85722616,0.85
"94","ESPA",62,51,6.325115589,3.488021684,0.6
"95","ESSA",71,53,3.103194693,2.605523663,0.9
"96","ETAR",89,46,-13.13902049,7.562129216,0.55
"97","EVRA",67,53,10.24170902,5.046513712,0.95
"98","EYVI",65,50,11.93369098,7.839087725,0.95
"99","FACT",59,51,4.111626823,-6.135412374,0.9
"100","FAGG",63,51,1.262504588,-5.821676251,0.85
"101","FAJS",66,44,-6.224977404,-5.219449953,0.95
"102","FALE",84,60,-13.34526715,-10.0646971,0.2
"103","GCLP",82,70,-1.272725748,-0.177962909,0.9
"104","GCTS",84,69,-2.407673041,0.009998298,0.95
"105","GCXO",72,60,2.004758143,1.321213362,0.95
"106","GMMN",89,66,-3.185456546,-0.551189745,0.95
"107","GOOY",87,78,-1.029917349,-0.376633543,0.95
"108","HAAB",74,57,-3.233213124,-2.666079114,0.55
"110","HEGN",97,78,5.692853837,2.656370328,0.657142857
"111","HKJK",77,52,-1.515412858,-0.440421661,0.692857143
"112","HKMO",84,71,-1.011291509,0.583977255,0.842857143
"115","KABQ",85,62,7.647610102,6.120855022,0.95
"116","KADW",82,68,3.99332068231843,1.47786586681876,0.85
"117","KAFW",93,75,6.095624224,1.303506551,0.95
"118","KAGS",99,69,-5.620651839,1.033046307,0.85
"119","KAMA",87,66,7.234173487,2.07655289,0.8
"120","KATL",92,73,-3.36239042393235,-0.878007819932066,0.9
"121","KAUS",93,65,3.278133893,6.086068332,0.85
"122","KAVL",88,64,-4.260095188,2.062635233,0.95
"123","KBAB",87,57,6.732482963,3.584250958,0.778571429
"124","KBAD",93,74,1.457255628,0.927246867,0.95
"125","KBDL",87,60,1.261842041,7.326886224,0.85
"127","KBGR",86,55,-4.90534908,3.927988392,0.9
"128","KBHM",95,72,-3.178709979,1.859493074,0.9
"129","KBIL",90,59,-0.386857792,1.89588901,0.9
"130","KBLV",92,68,-2.964209573,1.043555036,0.95
"131","KBMI",74,61,11.3322131,3.873694039,0.95
"132","KBNA",94,73,-3.046673431,-2.021375976,0.85
"133","KBOI",86,63,9.4772482,2.453783542,0.9
"134","KBOS",83,68,-0.217762452,-0.51871139,0.95
"135","KBTR",95,74,-2.361171125,0.264879534,0.9
"136","KBUF",80,58,2.585653494,7.465379146,0.95
"137","KBWI",87,65,1.140890399,5.633297743,0.95
"138","KCAE",100,72,-6.649924,1.542094171,0.9
"139","KCBM",94,71,-2.162855434,1.669430657,0.871428571
"140","KCHA",92,73,-1.372536141,-1.231091051,0.95
"141","KCHS",97,76,-5.476823104,-0.813703895,0.8
"142","KCID",80,64,2.789524961,-1.119496412,0.95
"143","KCLE",78,55,6.260502326,11.67559281,0.9
"145","KCMH",82,60,4.417128932,7.35961047,0.85
"146","KCOS",85,58,2.588841977,0.845088331,0.9
"147","KCPR",88,56,0.788393229,-2.145983815,0.9
"148","KCRP",94,74,0.004446561,1.556868158,0.9
"149","KCRW",82,66,5.381384391,1.046643608,0.95
"150","KCVG",83,61,4.081009373,6.891406597,0.95
"151","KCVS",87,65,2.737384108,0.927045374,0.828571429
"152","KDAL",95,79,2.826089372,0.139170411,0.85
"153","KDAY",81,63,4.176123454,3.456475963,0.85
"154","KDBQ",75,62,6.829781788,0.006647,0.95
"155","KDCA",88,75,1.639537686,-1.551790164,0.95
"156","KDEN",89,56,1.412908458,4.25045954,0.9
"157","KDFW",94,76,4.492571919,2.943297468,0.85
"158","KDLF",93,72,1.353640091,2.349323671,0.842857143
"159","KDLH",82,67,-4.814607206,-9.887417205,0.9
"161","KDSM",86,70,0.741404524,-1.883394066,0.9
"162","KDTW",83,60,1.975270336,6.231734102,0.95
"163","KDYS",91,69,6.460729899,4.209274063,0.9
"164","KEDW",91,60,9.527022083,10.33292925,0.892857143
"165","KEND",91,72,5.516296728,0.468944082,0.857142857
"166","KERI",78,57,4.078341047,8.558227726,0.95
"168","KFFO",79,60,6.705163431,6.543087315,0.7
"169","KFLL",91,81,-2.177218958,-3.888450471,0.9
"170","KFSM",94,74,2.486286646,0.502743231,0.9
"171","KFTW",93,75,5.136171662,1.418806504,0.95
"172","KFWA",79,56,9.368979781,9.680969469,0.8
"173","KGEG",74,63,12.24577454,-3.757892712,0.9
"174","KGPT",93,75,-1.587274864,0.917040125,0.85
"175","KGRB",83,59,0.292143341,1.401441441,0.9
"176","KGSB",96,73,-5.140406952,-1.243874466,0.85
"178","KGSP",96,71,-6.135091528,-0.263472164,0.95
