"","location","max_T","min_T","diff_max_T","diff_min_T","Precip_A","Precip_P","Probability","Quality"
"1","AYPY",82,75,3.39762787764603,0.13394815028235,"None","None",0.95,0.442857142857143
"2","BIKF",56,45,0.374856726136279,2.09765777113068,"None","None",0.596,0.9
"3","BKPR",NA,NA,NA,NA,NA,NA,NA,NA
"4","CYEG",84,61,-11.1312371311182,-12.4934540868904,"None","None",0.486,0.9
"5","CYHZ",NA,NA,NA,NA,NA,NA,NA,NA
"6","CYOW",87,59,-5.55288268367408,1.37424376846514,"None","None",0.532,0.85
"7","CYQB",NA,NA,NA,NA,NA,NA,NA,NA
"8","CYUL",83,64,-3.20245086101195,-1.0625640502682,"None","None",0.63,0.85
"9","CYVR",NA,NA,NA,NA,NA,NA,NA,NA
"10","CYWG",82,68,-5.02356894714907,-13.5556372529091,"Thunderstorm","None",0.656,0.85
"11","CYXU",80,53,0.755626990613621,7.38367530718044,"Fog","None",0.77,0.9
"12","CYYC",84,59,-10.7808133601219,-5.76718280165517,"Thunderstorm","Rain",0.51,0.95
"13","CYYJ",66,56,7.74569174904025,-3.07028042747454,"Rain","None",0.802,0.95
"14","CYYT",51,44,21.9044695274253,9.63121644253167,"Fog-Rain","None",0.878,0.8
"15","CYYZ",84,59,-2.59085800805285,5.66072744735131,"None","Rain",0.502,0.9
"16","DAAG",90,63,0.354336765012476,5.6612678598336,"None","None",0.632,0.75
"17","DGAA",NA,NA,NA,NA,NA,NA,NA,NA
"18","DNAA",NA,NA,NA,NA,NA,NA,NA,NA
"19","DNMM",87,72,-3.54376933369308,0.997094452597707,"None","None",0.5,0.7
"20","DTTA",88,72,5.78935693179456,1.45116215888814,"None","None",0.57,0.85
"21","EBBR",NA,NA,NA,NA,NA,NA,NA,NA
"22","EBCI",82,59,-10.9892857501342,-2.98239490052899,"None","None",0.71,0.95
"23","EBLG",86,60,-13.8272593940027,-3.2092629970618,"None","None",0.478,0.9
"24","EDDB",72,47,5.52020367444828,11.7727887060105,"Fog","None",0.694,0.75
"25","EDDC",NA,NA,NA,NA,NA,NA,NA,NA
"26","EDDF",NA,NA,NA,NA,NA,NA,NA,NA
"27","EDDG",83,54,-8.69467057897408,2.09675951935174,"None","None",0.526,0.9
"28","EDDH",NA,NA,NA,NA,NA,NA,NA,NA
"29","EDDK",86,50,-10.9432581472362,6.97348296251441,"None","None",0.444,0.9
"30","EDDL",NA,NA,NA,NA,NA,NA,NA,NA
"31","EDDM",84,46,-8.30898071195267,10.1606586334378,"Rain-Thunderstorm","None",0.468,0.9
"32","EDDN",NA,NA,NA,NA,NA,NA,NA,NA
"33","EDDP",76,50,-0.953295220604105,7.11238049584399,"None","None",0.596,0.55
"34","EDDS",87,51,-11.4464116930753,5.95819639588169,"None","None",0.468,0.9
"35","EDDT",70,48,7.51527356229536,12.1221130981685,"None","None",0.476,0.8
"36","EDDV",79,49,-4.49653953336384,7.77679237793595,"Fog","None",0.384,0.95
"37","EDDW",79,50,-4.33654772972338,6.58546983254366,"Fog-Rain","None",0.412,0.9
"38","EDLW",NA,NA,NA,NA,NA,NA,NA,NA
"39","EDSB",NA,NA,NA,NA,NA,NA,NA,NA
"40","EETN",NA,NA,NA,NA,NA,NA,NA,NA
"41","EFHK",70,55,5.81052368526224,1.85135919523653,"Rain","None",0.768,0.9
"42","EGAA",63,52,3.04496110778614,-2.12903318938766,"Rain","None",0.52,0.95
"43","EGAC",64,53,1.09573564789652,0.434929453576515,"Rain","None",0.71,0.85
"44","EGBB",71,59,-0.801204047125722,-6.30855803358386,"Rain","None",0.708,0.9
"45","EGCC",NA,NA,NA,NA,NA,NA,NA,NA
"46","EGCN",73,57,4.15051505866757,-0.426122790320377,"Rain","None",0.848,0.2
"47","EGFF",NA,NA,NA,NA,NA,NA,NA,NA
"48","EGGD",NA,NA,NA,NA,NA,NA,NA,NA
"49","EGGP",66,59,2.13452574420413,-3.81481807136178,"Rain","None",0.61,0.9
"50","EGGW",75,57,-3.81473139366187,-4.11790990147853,"Rain","None",0.742,0.9
"51","EGHH",73,50,-2.24262231048368,1.47624787149208,"Fog","None",0.364,0.9
"52","EGHI",71,50,-3.91510198084617,2.90161763447081,"None","None",0.49,0.85
"53","EGKK",75,51,-2.90228522029825,3.86527691634262,"None","None",1,0.8
"54","EGLC",78,62,-6.756721521746,-4.40375686759529,"Rain","None",0.92,0.95
"55","EGLL",NA,NA,NA,NA,NA,NA,NA,NA
"56","EGNM",NA,NA,NA,NA,NA,NA,NA,NA
"57","EGNT",68,57,-1.75826694800259,-6.51080937878636,"Rain","None",0.516,0.9
"58","EGNX",71,59,-1.51341162254792,-5.87584412604387,"Rain","None",0.604,0.9
"59","EGPD",NA,NA,NA,NA,NA,NA,NA,NA
"60","EGPF",NA,NA,NA,NA,NA,NA,NA,NA
"61","EGPH",66,57,-2.05338559903743,-8.93419604287988,"Rain","None",0.498,0.85
"62","EGSH",77,57,-8.90358321098643,-1.69521666548043,"None","None",0.576,0.85
"63","EGSS",NA,NA,NA,NA,NA,NA,NA,NA
"64","EGTE",NA,NA,NA,NA,NA,NA,NA,NA
"65","EGUL",77,54,-4.94877002376361,-0.837585236698523,"Rain","Rain",0.608,0.592857142857143
"66","EGUN",77,54,-3.77840646712161,-0.35187723590775,"Rain","None",0.496,0.657142857142857
"67","EGVA",NA,NA,NA,NA,NA,NA,NA,NA
"68","EGVN",NA,NA,NA,NA,NA,NA,NA,NA
"69","EHAM",81,57,-9.91584580768161,-0.206983178174895,"None","None",0.626,0.9
"70","EHBK",86,56,-11.2161572135489,0.452673660442173,"None","None",0.582,0.75
"71","EHEH",87,59,-13.3985149293963,-3.15542547026296,"None","None",0.594,0.95
"72","EICK",NA,NA,NA,NA,NA,NA,NA,NA
"73","EIDW",NA,NA,NA,NA,NA,NA,NA,NA
"74","EINN",62,54,4.73453830476335,-0.69185531682772,"Rain","Rain",0.64,0.85
"75","EKBI",NA,NA,NA,NA,NA,NA,NA,NA
"76","EKCH",69,44,4.07823556989094,15.450250022416,"Rain","Rain",0.596,0.9
"77","EKYT",66,49,6.20801753581863,8.83637749814562,"None","None",0.768,0.95
"78","ELLX",NA,NA,NA,NA,NA,NA,NA,NA
"79","ENBO",55,49,7.36097620925469,2.98343188784062,"None","None",0.528,0.95
"80","ENBR",NA,NA,NA,NA,NA,NA,NA,NA
"81","ENGM",71,44,-1.71613088092442,10.491789677281,"None","None",0.638,0.85
"82","ENTC",50,46,10.1501218486759,2.32440903607246,"None","Rain",0.478,0.9
"83","ENVA",NA,NA,NA,NA,NA,NA,NA,NA
"84","ENZV",NA,NA,NA,NA,NA,NA,NA,NA
"85","EPGD",NA,NA,NA,NA,NA,NA,NA,NA
"86","EPKK",NA,NA,NA,NA,NA,NA,NA,NA
"87","EPKT",72,46,6.03405136224197,8.61471152553114,"None","None",0.544,0.714285714285714
"88","EPMO",NA,NA,NA,NA,NA,NA,NA,NA
"89","EPPO",72,46,8.09282909215932,14.1284952060593,"None","None",0.688,0.8
"90","EPWA",65,53,13.5943323178171,6.38011234092117,"None","None",0.548,0.9
"91","EPWR",NA,NA,NA,NA,NA,NA,NA,NA
"92","ESGG",69,48,0.089385270108437,6.80603641109879,"Fog","None",0.568,0.85
"93","ESMS",68,45,4.19500701412258,10.8572261578747,"None","None",0.564,0.85
"94","ESPA",62,51,7.04979134910914,4.13823888547586,"None","None",0.5,0.7
"95","ESSA",71,53,3.2969029809877,2.5812377227294,"Rain","None",0.576,0.9
"96","ETAR",89,46,-13.4902416248529,7.14507096360932,"None","Rain",0.998,0.607142857142857
"97","EVRA",NA,NA,NA,NA,NA,NA,NA,NA
"98","EYVI",NA,NA,NA,NA,NA,NA,NA,NA
"99","FACT",59,51,4.25419971173716,-6.13785214924113,"Rain","None",0.596,0.95
"100","FAGG",NA,NA,NA,NA,NA,NA,NA,NA
"101","FAJS",66,44,-6.83894334148896,-5.60964853278173,"None","None",0.8,0.8
"102","FALE",84,60,-7.44381635794824,-0.890797544700206,"None","Rain",0.524,0.15
"103","GCLP",82,70,-1.36801866608644,-0.211958228313861,"None","None",0.71,0.9
"104","GCTS",NA,NA,NA,NA,NA,NA,NA,NA
"105","GCXO",NA,NA,NA,NA,NA,NA,NA,NA
"106","GMMN",89,66,-3.3293382916923,-0.591856280362009,"None","Fog",0.586,0.85
