,location,max_T,min_T,diff_max_T,diff_min_T,Precip_A,Precip_P,Probability,Quality
1,AYPY,82,75,3.397627878,0.13394815,None,None,0.95,0.442857143
2,BIKF,56,45,0.374856726,2.097657771,None,None,0.596,0.9
3,BKPR,78,48,-1.49760745,9.697566279,None,Rain,0.542,0.1
4,CYEG,84,61,-11.13123713,-12.49345409,None,None,0.486,0.9
5,CYHZ,78,55,-2.398188434,3.405459096,None,None,0.47,0.85
6,CYOW,87,59,-5.552882684,1.374243768,None,None,0.532,0.85
7,CYQB,80,51,0.63950926,7.269636035,Rain-Thunderstorm,None,0.58,0.9
8,CYUL,83,64,-3.202450861,-1.06256405,None,None,0.63,0.85
9,CYVR,65,60,8.03177041,-2.478626815,Rain,None,0.606,0.9
10,CYWG,82,68,-5.023568947,-13.55563725,Thunderstorm,None,0.656,0.85
11,CYXU,80,53,0.755626991,7.383675307,Fog,None,0.77,0.9
12,CYYC,84,59,-10.78081336,-5.767182802,Thunderstorm,Rain,0.51,0.95
13,CYYJ,66,56,7.745691749,-3.070280427,Rain,None,0.802,0.95
14,CYYT,51,44,21.90446953,9.631216443,Fog-Rain,None,0.878,0.8
15,CYYZ,84,59,-2.590858008,5.660727447,None,Rain,0.502,0.9
16,DAAG,90,63,0.354336765,5.66126786,None,None,0.632,0.75
17,DGAA,85,72,-0.936097214,2.358525535,None,None,0.996,0.892857143
18,DNAA,89,78,-4.668601578,-7.543071792,Thunderstorm,Fog,0.35,0.1
19,DNMM,87,72,-3.543769334,0.997094453,None,None,0.5,0.7
20,DTTA,88,72,5.789356932,1.451162159,None,None,0.57,0.85
21,EBBR,84,55,-11.51499041,0.07945916,None,None,0.526,0.9
22,EBCI,82,59,-10.98928575,-2.982394901,None,None,0.71,0.95
23,EBLG,86,60,-13.82725939,-3.209262997,None,None,0.478,0.9
24,EDDB,72,47,5.520203674,11.77278871,Fog,None,0.694,0.75
25,EDDC,75,47,0.234992406,9.98857677,Rain,None,0.716,0.75
26,EDDF,89,57,-10.85303592,2.528251414,None,None,0.604,0.9
27,EDDG,83,54,-8.694670579,2.096759519,None,None,0.526,0.9
28,EDDH,75,46,-0.459811776,11.22090737,Fog,None,0.62,0.95
29,EDDK,86,50,-10.94325815,6.973482963,None,None,0.444,0.9
30,EDDL,84,52,-9.30172193,6.436521495,None,None,0.534,0.8
31,EDDM,84,46,-8.308980712,10.16065863,Rain-Thunderstorm,None,0.468,0.9
32,EDDN,87,46,-12.56259434,9.561226693,None,None,0.376,0.85
33,EDDP,76,50,-0.953295221,7.112380496,None,None,0.596,0.55
34,EDDS,87,51,-11.44641169,5.958196396,None,None,0.468,0.9
35,EDDT,70,48,7.515273562,12.1221131,None,None,0.476,0.8
36,EDDV,79,49,-4.496539533,7.776792378,Fog,None,0.384,0.95
37,EDDW,79,50,-4.33654773,6.585469833,Fog-Rain,None,0.412,0.9
38,EDLW,80,51,-6.661580315,5.401755661,None,None,0.5,0.95
39,EDSB,89,51,-27.76055418,6.005998797,None,Rain,0.786,0.1
40,EETN,66,54,8.748540386,3.562916718,Rain,None,0.446,0.95
41,EFHK,70,55,5.810523685,1.851359195,Rain,None,0.768,0.9
42,EGAA,63,52,3.044961108,-2.129033189,Rain,None,0.52,0.95
43,EGAC,64,53,1.095735648,0.434929454,Rain,None,0.71,0.85
44,EGBB,71,59,-0.801204047,-6.308558034,Rain,None,0.708,0.9
45,EGCC,68,57,0.883707804,-5.776485217,Rain,None,0.712,0.9
46,EGCN,73,57,4.150515059,-0.42612279,Rain,None,0.848,0.2
47,EGFF,66,59,2.417128035,-4.243820638,Rain,None,0.64,0.8
48,EGGD,66,55,0.208612605,-2.889027101,None,None,0.806,0.85
49,EGGP,66,59,2.134525744,-3.814818071,Rain,None,0.61,0.9
50,EGGW,75,57,-3.814731394,-4.117909901,Rain,None,0.742,0.9
51,EGHH,73,50,-2.24262231,1.476247871,Fog,None,0.364,0.9
52,EGHI,71,50,-3.915101981,2.901617634,None,None,0.49,0.85
53,EGKK,75,51,-2.90228522,3.865276916,None,None,1,0.8
54,EGLC,78,62,-6.756721522,-4.403756868,Rain,None,0.92,0.95
55,EGLL,78,57,-5.137083722,-1.300379139,Rain,None,0.526,0.95
56,EGNM,66,56,-0.373324592,-4.740389951,Rain,None,0.476,0.95
57,EGNT,68,57,-1.758266948,-6.510809379,Rain,None,0.516,0.9
58,EGNX,71,59,-1.513411623,-5.875844126,Rain,None,0.604,0.9
59,EGPD,70,55,-6.672258758,-5.850205779,Rain,None,0.624,0.95
60,EGPF,64,57,3.125647916,-6.597161393,Rain,None,0.456,0.9
61,EGPH,66,57,-2.053385599,-8.934196043,Rain,None,0.498,0.85
62,EGSH,77,57,-8.903583211,-1.695216665,None,None,0.576,0.85
63,EGSS,75,53,-5.249844945,-0.473408295,None,None,0.648,0.95
64,EGTE,71,50,-0.510576046,0.760863731,None,Rain,0.574,0.9
65,EGUL,77,54,-4.948770024,-0.837585237,Rain,Rain,0.608,0.592857143
66,EGUN,77,54,-3.778406467,-0.351877236,Rain,None,0.496,0.657142857
67,EGVA,72,51,1.400357588,1.167002361,None,None,0.644,0.471428571
68,EGVN,73,55,-4.337181726,-2.262005178,Rain,None,0.82,0.8
69,EHAM,81,57,-9.915845808,-0.206983178,None,None,0.626,0.9
70,EHBK,86,56,-11.21615721,0.45267366,None,None,0.582,0.75
71,EHEH,87,59,-13.39851493,-3.15542547,None,None,0.594,0.95
72,EICK,59,49,5.539225573,3.697501662,Rain,None,0.5,0.85
73,EIDW,64,52,1.398027832,-2.464612957,Rain,None,0.62,0.9
74,EINN,62,54,4.734538305,-0.691855317,Rain,Rain,0.64,0.85
75,EKBI,63,39,8.098515778,15.52715711,Fog-Rain,None,0.468,0.85
76,EKCH,69,44,4.07823557,15.45025002,Rain,Rain,0.596,0.9
77,EKYT,66,49,6.208017536,8.836377498,None,None,0.768,0.95
78,ELLX,84,56,-11.02909097,0.59667045,None,Rain,0.574,0.95
79,ENBO,55,49,7.360976209,2.983431888,None,None,0.528,0.95
80,ENBR,59,48,6.934556233,5.289758264,Rain,Rain,0.426,0.85
81,ENGM,71,44,-1.716130881,10.49178968,None,None,0.638,0.85
82,ENTC,50,46,10.15012185,2.324409036,None,Rain,0.478,0.9
83,ENVA,66,48,1.345040034,5.869343426,None,None,0.588,0.95
84,ENZV,62,46,3.805883897,9.119239346,Rain,None,0.508,0.9
85,EPGD,64,53,9.821399608,4.588897185,None,None,0.554,0.8
86,EPKK,73,42,6.351071273,14.61596366,None,None,0.52,0.95
87,EPKT,72,46,6.034051362,8.614711526,None,None,0.544,0.714285714
88,EPMO,66,53,13.58180348,11.2826066,None,None,0.738,0.107142857
89,EPPO,72,46,8.092829092,14.12849521,None,None,0.688,0.8
90,EPWA,65,53,13.59433232,6.380112341,None,None,0.548,0.9
91,EPWR,74,47,5.867395299,11.23315967,None,None,0.472,0.721428571
92,ESGG,69,48,0.08938527,6.806036411,Fog,None,0.568,0.85
93,ESMS,68,45,4.195007014,10.85722616,None,None,0.564,0.85
94,ESPA,62,51,7.049791349,4.138238885,None,None,0.5,0.7
95,ESSA,71,53,3.296902981,2.581237723,Rain,None,0.576,0.9
96,ETAR,89,46,-13.49024162,7.145070964,None,Rain,0.998,0.607142857
97,EVRA,67,53,10.24170902,5.046513712,Rain,None,0.578,0.95
98,EYVI,65,50,11.93369098,7.839087725,Rain,None,0.614,0.95
99,FACT,59,51,4.254199712,-6.137852149,Rain,None,0.596,0.95
100,FAGG,63,51,1.097393095,-5.801806655,None,Rain,0.594,0.85
101,FAJS,66,44,-6.838943341,-5.609648533,None,None,0.8,0.8
102,FALE,84,60,-7.443816358,-0.890797545,None,Rain,0.524,0.15
103,GCLP,82,70,-1.368018666,-0.211958228,None,None,0.71,0.9
104,GCTS,84,69,-2.407673041,0.009998298,None,Rain,0.75,0.95
105,GCXO,72,60,2.004758143,1.321213362,Fog,None,0.408,0.95
106,GMMN,89,66,-3.329338292,-0.59185628,None,Fog,0.586,0.85
107,GOOY,87,78,-1.187718724,-0.513855086,Thunderstorm,None,0.498,0.8
108,HAAB,74,57,-2.916669694,-3.851117887,Thunderstorm,None,0.5,0.5
109,HECA,93,71,2.670121112,4.533410532,None,None,0.838,0.9
110,HEGN,NA,NA,NA,NA,NA,NA,NA,NA
111,HKJK,77,52,-2.067452801,-1.39096942,None,None,0.568,0.592857143
112,HKMO,84,71,-0.764184662,1.631230559,None,None,0.508,0.792857143
113,HLLT,NA,NA,NA,NA,NA,NA,NA,NA
114,HSSS,105,87,-1.810543063,-8.17676944,None,None,0.904,0.728571429
115,KABQ,85,62,7.418373028,6.030701192,Rain-Thunderstorm,None,0.584,0.85
116,KADW,82,68,4.055298252,1.535788429,Rain,Rain,0.522,0.95
117,KAFW,93,75,6.095624224,1.303506551,None,Rain,0.74,0.95
118,KAGS,99,69,-5.144749914,1.511319506,None,None,0.392,0.95
119,KAMA,87,66,7.937064676,2.14407852,None,TStorm,0.426,0.9
120,KATL,92,73,-3.324089427,-0.862096393,None,None,0.694,0.9
121,KAUS,93,65,3.537961949,6.075333117,None,None,0.468,0.95
122,KAVL,88,64,-4.83602794,1.917481559,None,None,0.408,0.85
123,KBAB,87,57,8.216894607,4.652758686,None,Rain,0.556,0.878571429
124,KBAD,93,74,1.228960506,0.750665249,None,Rain,0.53,0.9
125,KBDL,87,60,-0.077252576,6.392436248,None,Rain,0.544,0.85
126,KBFI,73,64,5.99452708,-5.139776628,None,None,0.576,0.85
127,KBGR,86,55,-3.849311091,4.639879905,None,None,0.646,0.9
128,KBHM,95,72,-3.229544748,1.881591371,None,None,0.726,0.95
129,KBIL,90,59,0.625185299,2.083292256,Rain-Thunderstorm,None,0.608,0.85
130,KBLV,92,68,-2.964209573,1.043555036,None,Rain,0.984,0.95
131,KBMI,74,61,11.3322131,3.873694039,Rain-Thunderstorm,Rain,0.75,0.95
132,KBNA,94,73,-3.084588959,-2.104285343,None,None,0.704,0.95
133,KBOI,86,63,9.620227189,2.227978025,Rain-Thunderstorm,None,0.746,0.8
134,KBOS,83,68,-0.855688521,-1.121778033,None,None,0.68,0.9
135,KBTR,95,74,-3.075889888,-0.456119287,None,None,0.444,0.9
136,KBUF,80,58,3.429359971,8.352303329,None,None,0.698,0.85
137,KBWI,87,65,1.140890399,5.633297743,Rain,None,0.744,0.95
138,KCAE,100,72,-6.784338476,1.47563707,None,None,0.502,0.95
139,KCBM,94,71,-2.98769002,1.327770955,None,None,0.528,0.828571429
140,KCHA,92,73,-1.87539706,-0.99374886,Rain-Thunderstorm,Rain,0.398,0.8
141,KCHS,97,76,-5.893927325,-1.519234995,Rain,Rain,0.684,0.95
142,KCID,80,64,2.789524961,-1.119496412,Rain,None,0.776,0.95
143,KCLE,78,55,6.185634521,11.43181329,None,None,0.646,0.9
144,KCLT,96,67,-6.28354788,3.302036912,None,Rain,0.424,0.9
145,KCMH,82,60,4.34453952,7.605836897,None,None,0.72,0.95
146,KCOS,85,58,2.615518847,1.138635596,None,None,0.51,0.85
147,KCPR,88,56,0.917715693,-1.814091291,None,None,0.494,0.85
148,KCRP,94,74,0.111808813,2.029168126,None,None,0.394,0.9
149,KCRW,82,66,5.589218923,1.136033803,Rain,None,0.636,0.9
150,KCVG,83,61,3.736996849,6.29556166,Fog,None,0.652,0.8
151,KCVS,87,65,3.572981894,0.972383627,Rain-Thunderstorm,Rain,1,0.914285714
152,KDAL,95,79,2.753386416,0.053967275,None,Rain,0.802,0.8
153,KDAY,81,63,6.214964641,4.091535181,None,None,0.594,0.8
154,KDBQ,75,62,6.829781788,0.006647,Rain,None,0.538,0.95
155,KDCA,88,75,1.792429306,-1.251130494,Rain,None,0.724,0.8
156,KDEN,89,56,2.008526176,5.186925107,Rain-Thunderstorm,Rain,0.424,0.75
157,KDFW,94,76,5.025361603,2.779352411,None,None,0.554,0.8
158,KDLF,93,72,1.568080693,2.457683405,None,Rain,0.732,0.892857143
159,KDLH,82,67,-4.905930698,-9.89712632,None,Rain,0.646,0.85
160,KDOV,85,71,0.874858389,-0.662738584,Rain,Rain,0.704,0.95
161,KDSM,86,70,0.908453615,-2.203535952,Rain-Thunderstorm,None,0.552,0.85
162,KDTW,83,60,3.131357384,6.952652705,None,None,0.664,0.8
163,KDYS,91,69,7.417016927,4.796185876,None,Rain,0.666,0.807142857
164,KEDW,91,60,9.059985026,9.599486355,None,None,0.586,0.892857143
165,KEND,91,72,5.516296728,0.468944082,None,Rain,1,0.907142857
166,KERI,78,57,4.078341047,8.558227726,None,None,0.602,0.95
167,KEWR,87,67,1.003254164,4.678584233,None,None,0.562,0.9
168,KFFO,79,60,6.863136843,6.763092899,Fog,Rain,0.864,0.95
169,KFLL,91,81,-2.577666303,-4.382310445,None,Rain,0.486,0.75
170,KFSM,94,74,2.192495093,0.169756311,None,Rain,0.498,0.95
171,KFTW,93,75,4.305484199,1.037753134,None,Rain,0.57,0.9
172,KFWA,NA,NA,NA,NA,NA,NA,NA,NA
