"","Quality","variable","value"
"1","(0.4,0.6]","diff_max_T",3.358674183
"2","(0.8,1]","diff_max_T",0.754084021
"3","(0.8,1]","diff_max_T",-10.833998
"4","(0.8,1]","diff_max_T",-3.710682306
"5","(0.8,1]","diff_max_T",-6.160403804
"6","(0.8,1]","diff_max_T",-0.17740571
"7","(0.8,1]","diff_max_T",-2.523224152
"8","(0.8,1]","diff_max_T",7.909421302
"9","(0.8,1]","diff_max_T",-5.181277919
"10","(0.8,1]","diff_max_T",0.897496033
"11","(0.8,1]","diff_max_T",-10.59448807
"12","(0.8,1]","diff_max_T",21.8948238
"13","(0.8,1]","diff_max_T",-2.590271888
"14","(0.6,0.8]","diff_max_T",-1.071647594
"15","(0.8,1]","diff_max_T",-0.294004457
"16","(0.6,0.8]","diff_max_T",-3.677100734
"17","(0.8,1]","diff_max_T",-12.99462141
"18","(0.8,1]","diff_max_T",-11.08629011
"19","(0.8,1]","diff_max_T",-14.12493696
"20","(0.6,0.8]","diff_max_T",3.920238723
"21","(0.6,0.8]","diff_max_T",-1.730734654
"22","(0.8,1]","diff_max_T",-11.1974697
"23","(0.8,1]","diff_max_T",-8.176415258
"24","(0.8,1]","diff_max_T",1.131358722
"25","(0.8,1]","diff_max_T",-10.83674466
"26","(0.8,1]","diff_max_T",-8.580808041
"27","(0.8,1]","diff_max_T",-10.54157131
"28","(0.6,0.8]","diff_max_T",0.396022217
"29","(0.8,1]","diff_max_T",-11.09083987
"30","(0.8,1]","diff_max_T",-4.612037194
"31","(0.6,0.8]","diff_max_T",-6.425605314
"32","(0.8,1]","diff_max_T",9.23389531354125
"33","(0.8,1]","diff_max_T",6.230763117
"34","(0.6,0.8]","diff_max_T",1.034806024
"35","(0.8,1]","diff_max_T",-0.011575448
"36","(0.8,1]","diff_max_T",2.82701181937973
"37","(0.8,1]","diff_max_T",1.932598188
"38","(0.8,1]","diff_max_T",-5.074802445
"39","(0.8,1]","diff_max_T",-1.487172082
"40","(0.8,1]","diff_max_T",-3.35905043
"41","(0.8,1]","diff_max_T",-6.078417576
"42","(0.8,1]","diff_max_T",-6.756721522
"43","(0.8,1]","diff_max_T",-5.137083722
"44","(0.8,1]","diff_max_T",-2.04745275
"45","(0.8,1]","diff_max_T",3.166414968
"46","(0.8,1]","diff_max_T",-0.106574754
"47","(0.8,1]","diff_max_T",-7.69617770383685
"48","(0.8,1]","diff_max_T",-5.249844945
"49","(0.8,1]","diff_max_T",-0.242568312
"50","(0.4,0.6]","diff_max_T",-4.948770024
"51","(0.6,0.8]","diff_max_T",-3.77840646712161
"52","(0.4,0.6]","diff_max_T",-1.298667411
"53","(0.8,1]","diff_max_T",-1.724808322
"54","(0.6,0.8]","diff_max_T",-9.821200898
"55","(0.6,0.8]","diff_max_T",-13.41907762
"56","(0.8,1]","diff_max_T",-13.45663918
"57","(0.8,1]","diff_max_T",5.596303345
"58","(0.8,1]","diff_max_T",3.115165768
"59","(0.8,1]","diff_max_T",4.988842105
"60","(0.8,1]","diff_max_T",7.689277389
"61","(0.8,1]","diff_max_T",4.039408692
"62","(0.8,1]","diff_max_T",5.677802167
"63","(0.8,1]","diff_max_T",-10.70260209
"64","(0.8,1]","diff_max_T",6.851072677
"65","(0.8,1]","diff_max_T",6.320757789
"66","(0.8,1]","diff_max_T",-1.845728238
"67","(0.8,1]","diff_max_T",1.956826076
"68","(0.8,1]","diff_max_T",3.778670422
"69","(0.8,1]","diff_max_T",10.57741526
"70","(0.8,1]","diff_max_T",6.351071273
"71","(0.6,0.8]","diff_max_T",6.343492734
"72","(0,0.2]","diff_max_T",13.58180348
"73","(0.8,1]","diff_max_T",7.248589854
"74","(0.8,1]","diff_max_T",13.73647356
"75","(0.6,0.8]","diff_max_T",5.867395299
"76","(0.6,0.8]","diff_max_T",-0.24000283
"77","(0.8,1]","diff_max_T",4.195007014
"78","(0.4,0.6]","diff_max_T",6.325115589
"79","(0.8,1]","diff_max_T",3.103194693
"80","(0.4,0.6]","diff_max_T",-13.13902049
"81","(0.8,1]","diff_max_T",10.24170902
"82","(0.8,1]","diff_max_T",11.93369098
"83","(0.8,1]","diff_max_T",4.111626823
"84","(0.8,1]","diff_max_T",1.262504588
"85","(0.8,1]","diff_max_T",-6.224977404
"86","(0,0.2]","diff_max_T",-13.34526715
"87","(0.8,1]","diff_max_T",-1.272725748
"88","(0.8,1]","diff_max_T",-2.407673041
"89","(0.8,1]","diff_max_T",2.004758143
"90","(0.8,1]","diff_max_T",-3.185456546
"91","(0.8,1]","diff_max_T",-1.029917349
"92","(0.4,0.6]","diff_max_T",-3.233213124
"93","(0.6,0.8]","diff_max_T",5.692853837
"94","(0.6,0.8]","diff_max_T",-1.515412858
"95","(0.8,1]","diff_max_T",-1.011291509
"96","(0.8,1]","diff_max_T",7.647610102
"97","(0.8,1]","diff_max_T",3.99332068231843
"98","(0.8,1]","diff_max_T",6.095624224
"99","(0.8,1]","diff_max_T",-5.620651839
"100","(0.6,0.8]","diff_max_T",7.234173487
"101","(0.8,1]","diff_max_T",-3.36239042393235
"102","(0.8,1]","diff_max_T",3.278133893
"103","(0.8,1]","diff_max_T",-4.260095188
"104","(0.6,0.8]","diff_max_T",6.732482963
"105","(0.8,1]","diff_max_T",1.457255628
"106","(0.8,1]","diff_max_T",1.261842041
"107","(0.8,1]","diff_max_T",-4.90534908
"108","(0.8,1]","diff_max_T",-3.178709979
"109","(0.8,1]","diff_max_T",-0.386857792
"110","(0.8,1]","diff_max_T",-2.964209573
"111","(0.8,1]","diff_max_T",11.3322131
"112","(0.8,1]","diff_max_T",-3.046673431
"113","(0.8,1]","diff_max_T",9.4772482
"114","(0.8,1]","diff_max_T",-0.217762452
"115","(0.8,1]","diff_max_T",-2.361171125
"116","(0.8,1]","diff_max_T",2.585653494
"117","(0.8,1]","diff_max_T",1.140890399
"118","(0.8,1]","diff_max_T",-6.649924
"119","(0.8,1]","diff_max_T",-2.162855434
"120","(0.8,1]","diff_max_T",-1.372536141
"121","(0.6,0.8]","diff_max_T",-5.476823104
"122","(0.8,1]","diff_max_T",2.789524961
"123","(0.8,1]","diff_max_T",6.260502326
"124","(0.8,1]","diff_max_T",4.417128932
"125","(0.8,1]","diff_max_T",2.588841977
"126","(0.8,1]","diff_max_T",0.788393229
"127","(0.8,1]","diff_max_T",0.004446561
"128","(0.8,1]","diff_max_T",5.381384391
